id,curso_actual,tema_actual,curso_canonico,tema_canonico,tema_id,cambia
7832,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7833,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7834,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7835,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7836,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7837,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7838,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7839,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7840,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7841,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7842,Algebra,Sumatorias,Algebra,Sumatorias,34,True
7843,Algebra,Sumatorias,Algebra,Sumatorias,34,True
7844,Algebra,Factorial,Algebra,Factorial,12,True
7845,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7846,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7847,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7848,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7849,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7850,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7851,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7852,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7853,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7854,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7855,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7856,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7857,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7858,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7859,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7860,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7861,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7862,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7863,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7864,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7865,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7866,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7867,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7868,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7869,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7870,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7871,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7872,Algebra,Radicación,Algebra,Radicacion,30,True
7873,Algebra,Radicación,Algebra,Radicacion,30,True
7874,Algebra,Radicación,Algebra,Radicacion,30,True
7875,Algebra,Radicación,Algebra,Radicacion,30,True
7876,Algebra,Radicación,Algebra,Radicacion,30,True
7877,Algebra,Radicación,Algebra,Radicacion,30,True
7878,Algebra,Radicación,Algebra,Radicacion,30,True
7879,Algebra,Radicación,Algebra,Radicacion,30,True
7880,Algebra,Radicación,Algebra,Radicacion,30,True
7881,Algebra,Radicación,Algebra,Radicacion,30,True
7882,Algebra,Radicación,Algebra,Radicacion,30,True
7883,Algebra,Radicación,Algebra,Radicacion,30,True
7884,Algebra,Radicación,Algebra,Radicacion,30,True
7885,Algebra,Radicación,Algebra,Radicacion,30,True
7886,Algebra,Radicación,Algebra,Radicacion,30,True
7887,Algebra,Radicación,Algebra,Radicacion,30,True
7888,Algebra,Radicación,Algebra,Radicacion,30,True
7889,Algebra,Radicación,Algebra,Radicacion,30,True
7890,Algebra,Radicación,Algebra,Radicacion,30,True
7891,Algebra,Radicación,Algebra,Radicacion,30,True
7892,Algebra,Radicación,Algebra,Radicacion,30,True
7893,Algebra,Radicación,Algebra,Radicacion,30,True
7894,Algebra,Radicación,Algebra,Radicacion,30,True
7895,Algebra,Radicación,Algebra,Radicacion,30,True
7896,Algebra,Radicación,Algebra,Radicacion,30,True
7897,Algebra,Radicación,Algebra,Radicacion,30,True
7898,Algebra,Radicación,Algebra,Radicacion,30,True
7899,Algebra,Radicación,Algebra,Radicacion,30,True
7900,Algebra,Radicación,Algebra,Radicacion,30,True
7901,Algebra,Radicación,Algebra,Radicacion,30,True
7902,Algebra,Radicación,Algebra,Radicacion,30,True
7903,Algebra,Radicación,Algebra,Radicacion,30,True
7904,Algebra,Radicación,Algebra,Radicacion,30,True
7905,Algebra,Radicación,Algebra,Radicacion,30,True
7906,Algebra,Radicación,Algebra,Radicacion,30,True
7907,Algebra,Radicación,Algebra,Radicacion,30,True
7908,Algebra,Radicación,Algebra,Radicacion,30,True
7909,Algebra,Radicación,Algebra,Radicacion,30,True
7910,Algebra,Radicación,Algebra,Radicacion,30,True
7911,Algebra,Radicación,Algebra,Radicacion,30,True
7912,Algebra,Radicación,Algebra,Radicacion,30,True
7913,Algebra,Radicación,Algebra,Radicacion,30,True
7914,Algebra,Radicación,Algebra,Radicacion,30,True
7915,Algebra,Radicación,Algebra,Radicacion,30,True
7916,Algebra,Radicación,Algebra,Radicacion,30,True
7917,Algebra,Radicación,Algebra,Radicacion,30,True
7918,Algebra,Radicación,Algebra,Radicacion,30,True
7919,Algebra,Radicación,Algebra,Radicacion,30,True
7920,Algebra,Radicación,Algebra,Radicacion,30,True
7921,Algebra,Radicación,Algebra,Radicacion,30,True
7922,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7923,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7924,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7925,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7926,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7927,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7928,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7929,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7930,Algebra,Teoria de Ecuaciones,Algebra,Teoria de Ecuaciones,35,True
7931,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
7932,Algebra,Ecuaciones Lineales,Algebra,Ecuaciones Lineales,9,True
