id,curso_actual,tema_actual,motivo
3332,Algebra,Teoria de Exponentes,tema_no_mapeado
3361,Algebra,Teoria de Exponentes,tema_no_mapeado
3382,Algebra,Teoria de Exponentes,tema_no_mapeado
3383,Algebra,Teoria de Exponentes,tema_no_mapeado
3391,Algebra,Teoria de Exponentes,tema_no_mapeado
3392,Algebra,Teoria de Exponentes,tema_no_mapeado
3393,Algebra,Teoria de Exponentes,tema_no_mapeado
3394,Algebra,Teoria de Exponentes,tema_no_mapeado
3395,Algebra,Teoria de Exponentes,tema_no_mapeado
3396,Algebra,Teoria de Exponentes,tema_no_mapeado
3397,Algebra,Teoria de Exponentes,tema_no_mapeado
3398,Algebra,Teoria de Exponentes,tema_no_mapeado
3399,Algebra,Teoria de Exponentes,tema_no_mapeado
3400,Algebra,Teoria de Exponentes,tema_no_mapeado
3401,Algebra,Teoria de Exponentes,tema_no_mapeado
3402,Algebra,Teoria de Exponentes,tema_no_mapeado
3403,Algebra,Teoria de Exponentes,tema_no_mapeado
3411,Algebra,Teoria de Exponentes,tema_no_mapeado
3412,Algebra,Teoria de Exponentes,tema_no_mapeado
3413,Algebra,Teoria de Exponentes,tema_no_mapeado
3414,Algebra,Teoria de Exponentes,tema_no_mapeado
3415,Algebra,Teoria de Exponentes,tema_no_mapeado
3416,Algebra,Teoria de Exponentes,tema_no_mapeado
3417,Algebra,Teoria de Exponentes,tema_no_mapeado
3418,Algebra,Teoria de Exponentes,tema_no_mapeado
3419,Algebra,Teoria de Exponentes,tema_no_mapeado
3420,Algebra,Teoria de Exponentes,tema_no_mapeado
3421,Algebra,Teoria de Exponentes,tema_no_mapeado
3422,Algebra,Teoria de Exponentes,tema_no_mapeado
3423,Algebra,Teoria de Exponentes,tema_no_mapeado
3431,Algebra,Teoria de Exponentes,tema_no_mapeado
3432,Algebra,Teoria de Exponentes,tema_no_mapeado
3433,Algebra,Teoria de Exponentes,tema_no_mapeado
3434,Algebra,Teoria de Exponentes,tema_no_mapeado
3436,Algebra,Teoria de Exponentes,tema_no_mapeado
3437,Algebra,Teoria de Exponentes,tema_no_mapeado
3439,Algebra,Teoria de Exponentes,tema_no_mapeado
3440,Algebra,Teoria de Exponentes,tema_no_mapeado
3441,Algebra,Teoria de Exponentes,tema_no_mapeado
3446,Algebra,Teoria de Exponentes,tema_no_mapeado
3448,Algebra,Teoria de Exponentes,tema_no_mapeado
3449,Algebra,Teoria de Exponentes,tema_no_mapeado
3450,Algebra,Teoria de Exponentes,tema_no_mapeado
3452,Algebra,Teoria de Exponentes,tema_no_mapeado
3453,Algebra,Teoria de Exponentes,tema_no_mapeado
3505,Algebra,Teoria de Exponentes,tema_no_mapeado
3506,Algebra,Teoria de Exponentes,tema_no_mapeado
3507,Algebra,Teoria de Exponentes,tema_no_mapeado
3508,Algebra,Teoria de Exponentes,tema_no_mapeado
3509,Algebra,Teoria de Exponentes,tema_no_mapeado
3510,Algebra,Teoria de Exponentes,tema_no_mapeado
3513,Algebra,Teoria de Exponentes,tema_no_mapeado
3514,Algebra,Teoria de Exponentes,tema_no_mapeado
3515,Algebra,Teoria de Exponentes,tema_no_mapeado
3516,Algebra,Teoria de Exponentes,tema_no_mapeado
3517,Algebra,Teoria de Exponentes,tema_no_mapeado
3518,Algebra,Teoria de Exponentes,tema_no_mapeado
3519,Algebra,Teoria de Exponentes,tema_no_mapeado
3520,Algebra,Teoria de Exponentes,tema_no_mapeado
