id,curso,tema,subtema,tema_id,subtema_id
541,Trigonometria,Longitud de Arco,,,
542,Trigonometria,Sector Circular,,,
543,Trigonometria,Longitud de Arco,,,
544,Trigonometria,Longitud de Arco,,,
545,Trigonometria,Longitud de Arco,,,
546,Trigonometria,Longitud de Arco,,,
547,Trigonometria,Longitud de Arco,,,
548,Trigonometria,Longitud de Arco,,,
549,Trigonometria,Longitud de Arco,,,
550,Trigonometria,Longitud de Arco,,,
551,Trigonometria,Longitud de Arco,,,
552,Trigonometria,Longitud de Arco,,,
553,Trigonometria,Longitud de Arco,,,
554,Trigonometria,Longitud de Arco,,,
555,Trigonometria,Longitud de Arco,,,
556,Trigonometria,Longitud de Arco,,,
557,Trigonometria,Sector Circular,,,
558,Trigonometria,Longitud de Arco,,,
559,Trigonometria,Sector Circular,,,
560,Trigonometria,Sector Circular,,,
561,Trigonometria,Sector Circular,,,
562,Trigonometria,Longitud de Arco,,,
563,Trigonometria,Longitud de Arco,,,
564,Trigonometria,Longitud de Arco,,,
565,Trigonometria,Sector Circular,,,
566,Trigonometria,Sector Circular,,,
567,Trigonometria,Longitud de Arco,,,
568,Trigonometria,Longitud de Arco,,,
569,Trigonometria,Sector Circular,,,
570,Trigonometria,Longitud de Arco,,,
571,Trigonometria,Longitud de Arco,,,
572,Trigonometria,Sector Circular,,,
573,Trigonometria,Longitud de Arco,,,
574,Trigonometria,Longitud de Arco,,,
575,Trigonometria,Sector Circular,,,
576,Trigonometria,Longitud de Arco,,,
577,Trigonometria,Sector Circular,,,
578,Trigonometria,Sector Circular,,,
579,Trigonometria,Sector Circular,,,
580,Trigonometria,Longitud de Arco,,,
581,Trigonometria,Longitud de Arco,,,
582,Trigonometria,Sector Circular,,,
583,Trigonometria,Sector Circular,,,
584,Trigonometria,Sector Circular,,,
585,Trigonometria,Sector Circular,,,
586,Trigonometria,Longitud de Arco,,,
587,Trigonometria,Longitud de Arco,,,
588,Trigonometria,Longitud de Arco,,,
589,Trigonometria,Longitud de Arco,,,
590,Trigonometria,Longitud de Arco,,,
591,Trigonometria,Longitud de Arco,,,
592,Trigonometria,Longitud de Arco,,,
593,Trigonometria,Longitud de Arco,,,
594,Trigonometria,Longitud de Arco,,,
595,Trigonometria,Longitud de Arco,,,
596,Trigonometria,Longitud de Arco,,,
597,Trigonometria,Sector Circular,,,
598,Trigonometria,Longitud de Arco,,,
599,Trigonometria,Longitud de Arco,,,
600,Trigonometria,Longitud de Arco,,,
601,Trigonometria,Longitud de Arco,,,
602,Trigonometria,Longitud de Arco,,,
603,Trigonometria,Longitud de Arco,,,
604,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
605,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
606,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
607,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
608,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
609,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
610,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
611,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
612,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
613,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
614,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
615,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
616,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
617,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
618,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
619,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
620,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
621,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
622,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
623,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
624,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
625,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
626,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
627,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
628,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
629,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
630,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
631,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
632,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
633,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
634,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
635,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
636,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
637,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
638,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
639,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
640,Trigonometria,Angulos Verticales y Horizontales,,,
641,Trigonometria,Angulos Verticales y Horizontales,,,
642,Trigonometria,Angulos Verticales y Horizontales,,,
643,Trigonometria,Angulos Verticales y Horizontales,,,
644,Trigonometria,Angulos Verticales y Horizontales,,,
645,Trigonometria,Angulos Verticales y Horizontales,,,
646,Trigonometria,Angulos Verticales y Horizontales,,,
647,Trigonometria,Angulos Verticales y Horizontales,,,
648,Trigonometria,Angulos Verticales y Horizontales,,,
649,Trigonometria,Angulos Verticales y Horizontales,,,
650,Trigonometria,Angulos Verticales y Horizontales,,,
651,Trigonometria,Angulos Verticales y Horizontales,,,
652,Trigonometria,Rosa Nautica,,,
653,Trigonometria,Rosa Nautica,,,
654,Trigonometria,Angulos Verticales y Horizontales,,,
655,Trigonometria,Rosa Nautica,,,
656,Trigonometria,Rosa Nautica,,,
657,Trigonometria,Rosa Nautica,,,
658,Trigonometria,Rosa Nautica,,,
